CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A101;A102_01;A201;A202;A203;A204;A301;A401;A402;A403;A404;A405;A501_01;A502;A601;A602;A701;A901_01;A902;A903;A904_01;A904_02;A904_03;A904_04;A904_05;A905;A906;A907;A908;A909;A910;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
77;;;base;interview;05.03.2025 12:19;1;Kinderwunsch;1;1;3;3;2;2;1;5;5;2;2;1;1;7;2;2;10;4;5;3;4;1;2;1;2;1;1;2;1;17;14;97;29;14;69;12;27;1883;78;17;44;71;17;44;7;22;20;513;;05.03.2025 13:01;;1;0;18;18;0;0;0,8
78;;;base;interview;05.03.2025 13:22;1;Fruchtbarkeits Vorteile ;1;1;3;3;2;2;2;4;1;2;5;1;5;11;2;4;4;1;5;1;2;4;3;1;1;1;2;2;1;68;101;183;48;172;68;11;4;120;46;34;19;12;18;10;11;24;17;462;;05.03.2025 13:38;;1;0;18;18;0;0;0,81
82;;;base;interview;05.03.2025 14:11;1;Fruchtbarkeit Vorteil;1;1;3;3;2;2;1;3;5;2;3;1;1;12;2;2;6;1;4;1;2;3;5;2;2;1;2;2;1;10;25;12;23;15;13;6;12;31;272;7;28;15;13;15;6;9;68;308;;05.03.2025 14:21;;1;0;18;18;0;0;1,29
87;;;base;interview;05.03.2025 19:06;1;Gute Idee ;1;3;3;3;2;5;1;6;2;1;2;3;1;2;1;3;6;3;5;3;2;4;1;1;1;2;1;1;1;17;58;79;79;23;14;14;6;42;65;17;40;10;8;5;23;10;36;546;;05.03.2025 19:15;;1;0;18;18;0;0;1
94;;;base;interview;06.03.2025 09:28;1;Gleichstellung, teuer;1;1;3;3;1;2;1;3;5;2;2;2;5;11;2;3;6;4;4;1;3;2;5;1;1;2;2;2;1;10;36;5;24;19;15;14;12;52;21;6;31;11;8;36;15;11;22;348;;06.03.2025 09:34;;1;0;18;18;0;0;1,25
96;;;base;interview;06.03.2025 09:36;1;Hilfe;1;1;3;3;1;2;1;9;1;2;3;1;1;12;2;2;6;2;4;2;3;5;1;1;1;1;1;2;1;8;41;35;46;30;19;9;10;73;78;8;29;12;10;17;11;11;17;464;;06.03.2025 09:44;;1;0;18;18;0;0;0,99
97;;;base;interview;06.03.2025 09:37;1;Menschliche Fortpflanzung ;1;1;2;3;2;2;2;4;1;2;2;1;1;4;2;3;6;1;4;3;1;2;5;1;1;1;1;1;1;18;27;169;72;24;13;54;24;72;100;32;35;36;11;12;22;10;11;535;;06.03.2025 09:49;;1;0;18;18;3;2;0,75
106;;;base;interview;06.03.2025 09:54;1;In-Vitro Befruchtung, Unternehmenskindergarten?;1;1;3;3;1;2;1;3;5;2;3;3;5;13;2;5;1;4;4;1;3;2;5;1;1;1;2;2;1;9;64;24;17;16;9;7;7;57;34;6;42;19;17;23;20;18;7;396;;06.03.2025 10:01;;1;0;18;18;0;0;1,22
110;;;base;interview;06.03.2025 10:07;1;Kinderwunsch, Unterstützung ;1;1;3;3;1;1;2;3;5;2;1;1;5;11;2;4;5;1;2;4;3;5;1;1;2;1;1;2;2;3;35;3;41;19;12;32;4;25;31;9;14;6;8;8;13;20;3;265;;06.03.2025 10:12;;1;0;18;18;3;2;1,69
111;;;base;interview;06.03.2025 10:10;1;Hilfe;1;1;3;3;2;4;2;2;4;1;3;4;6;13;2;4;6;3;4;3;1;5;2;2;1;2;2;2;1;9;21;57;77;26;15;22;12;59;119;6;46;50;32;23;21;18;19;597;;06.03.2025 10:21;;1;0;18;18;0;0;0,78
113;;;base;interview;06.03.2025 10:17;1;Unternehmens Benefits;1;1;3;3;2;2;2;3;1;2;2;3;1;3;1;3;6;4;4;1;3;2;5;1;1;1;1;1;1;21;264;41;53;45;19;17;21;74;57;12;20;13;22;8;17;9;29;513;;06.03.2025 10:29;;1;0;18;18;0;0;0,83
114;;;base;interview;06.03.2025 10:17;1;Vorteile;1;1;3;3;2;1;1;5;2;2;3;1;1;12;1;4;3;1;3;1;4;2;5;2;1;2;2;2;2;7;15;38;29;16;18;9;12;37;60;13;18;12;7;7;10;6;3;317;;06.03.2025 10:22;;1;0;18;18;3;2;1,47
115;;;base;interview;06.03.2025 10:20;1;Gesundheit, Schwangerschaft;1;1;3;3;2;1;1;4;5;2;3;3;5;11;2;3;4;2;3;2;1;4;5;1;1;2;1;1;1;5;29;54;32;24;13;11;6;48;55;14;30;20;29;15;15;11;9;420;;06.03.2025 10:27;;1;0;18;18;3;2;1,06
116;;;base;interview;06.03.2025 10:27;1;Übergriffig, konservativ;1;1;3;3;2;2;2;4;5;2;2;1;5;2;2;2;7;1;5;3;1;2;4;1;1;1;1;1;1;10;21;20;24;17;35;7;6;34;49;7;64;21;6;8;12;9;22;372;;06.03.2025 10:33;;1;0;18;18;0;0;1,29
118;;;base;interview;06.03.2025 10:50;1;Interesse und Vorteile;1;1;3;3;2;1;1;4;5;2;3;3;5;11;2;3;6;2;4;1;5;3;2;1;1;1;1;1;2;14;45;38;41;24;16;9;8;38;46;14;44;16;8;16;17;10;8;412;;06.03.2025 10:57;;1;0;18;18;3;2;1,04
123;;;base;interview;06.03.2025 11:25;1;Unterstützung kimderwunsch;1;1;3;3;2;3;1;2;4;1;4;1;1;6;2;4;5;1;4;1;2;3;5;1;1;1;2;1;1;3;22;68;49;30;25;9;7;50;111;8;50;10;10;21;14;10;19;516;;06.03.2025 11:34;;1;0;18;18;0;0;1,09
124;;;base;interview;06.03.2025 11:50;1;Vorteile wie Steuerfreibeträge, Finanztransfers, Gutscheine, vergünstigte oder kostenfreie Dienstleistungen etc. , die eine Person bekommt, da sie zur Reproduktion der Gesellschaft beiträgt (z.B. durch Schwangerschaft/Geburt, Kindererziehung) ;1;1;3;3;2;2;1;4;1;2;2;2;5;11;2;2;10;3;5;1;2;3;4;1;1;1;2;1;1;5;221;31;58;18;10;24;9;57;75;10;26;116;13;19;18;16;9;448;;06.03.2025 12:02;;1;0;18;18;0;0;0,94
125;;;base;interview;06.03.2025 11:52;1;nie-gehört;1;1;3;3;2;2;2;4;1;2;2;1;5;12;2;1;9;3;5;3;1;2;4;1;1;2;2;1;1;140;26;46;24;28;23;13;7;38;42;10;26;18;12;9;13;11;14;369;;06.03.2025 12:01;;1;0;18;18;0;0;1,05
126;;;base;interview;06.03.2025 11:58;1;Kinderwunsch, Unterstützung ;1;1;3;3;2;2;1;4;5;2;2;1;2;10;2;3;6;4;3;1;4;2;5;1;1;2;1;2;2;4;52;14;15;18;55;17;14;25;21;3;8;7;6;9;6;8;2;244;;06.03.2025 12:02;;1;0;18;18;3;2;1,9
128;;;base;interview;06.03.2025 12:02;1;Advantage ;1;1;3;3;2;2;2;3;1;2;2;1;5;4;2;4;5;4;4;1;3;5;2;2;1;1;1;2;1;3;302;59;34;17;12;10;19;68;54;15;29;14;8;11;13;38;27;441;;06.03.2025 12:14;;1;0;18;18;0;0;1,02
131;;;base;interview;06.03.2025 12:26;1;Helfen;1;2;3;3;2;5;1;2;2;1;1;2;7;12;1;3;6;4;3;5;4;2;1;2;1;1;2;1;2;4;14;34;60;46;30;24;13;72;140;24;30;18;16;20;13;24;2;584;;06.03.2025 12:36;;1;0;18;18;3;2;1,01
133;;;base;interview;06.03.2025 14:12;1;Unterstützung Familie;1;1;3;3;1;2;2;4;1;2;3;1;6;7;2;3;6;1;4;1;2;3;5;1;1;1;2;2;1;9;31;27;47;16;15;11;11;35;54;3;13;18;29;16;31;16;5;387;;06.03.2025 14:18;;1;0;18;18;3;2;1,25
137;;;base;interview;06.03.2025 17:43;1;Vorteile;1;1;3;3;1;2;2;4;5;2;3;1;1;8;2;4;4;1;5;1;4;3;2;1;1;1;2;1;2;4;52;17;71;20;21;12;27;48;32;3;62;18;20;24;22;71;24;472;;06.03.2025 17:52;;1;0;18;18;0;0;1,03
139;;;base;interview;06.03.2025 18:03;1;Mutterschaft, Vorteile;1;1;3;3;2;5;1;2;2;1;3;3;1;4;2;2;6;4;5;1;4;3;2;1;1;1;2;1;1;7;57;16;42;29;15;14;11;47;57;15;28;11;17;18;21;18;6;429;;06.03.2025 18:10;;1;0;18;18;3;2;1,06
140;;;base;interview;06.03.2025 20:39;1;Vorteile Extras;1;1;3;3;2;2;1;2;2;1;4;2;1;2;1;2;6;3;5;1;3;2;4;1;1;1;1;1;1;22;168;44;55;33;32;18;11;91;224;11;32;19;16;18;33;15;12;551;;06.03.2025 20:54;;1;0;18;18;3;2;0,68
148;;;base;interview;06.03.2025 22:23;1;Kinder bekommen;1;1;3;3;2;2;1;3;5;2;3;3;5;7;2;4;3;1;4;1;3;5;2;1;1;1;2;2;1;4;6;28;26;24;15;11;8;76;101;18;62;10;10;27;17;10;24;477;;06.03.2025 22:31;;1;0;18;18;3;2;1,13
149;;;base;interview;06.03.2025 22:41;1;Leistungen, Kinderwunsch ;1;1;3;3;2;2;1;3;1;2;3;1;5;4;2;3;4;1;5;1;3;2;4;2;1;2;2;2;1;4;87;77;88;26;23;12;15;64;161;23;44;21;14;16;13;26;7;614;;06.03.2025 22:53;;1;0;18;18;3;2;0,83
151;;;base;interview;07.03.2025 08:33;1;Freiheit, Planung;1;1;3;3;1;2;2;4;5;2;3;1;1;9;2;4;6;1;4;1;2;3;5;2;1;2;2;2;2;6;19;11;19;17;16;11;6;66;137;15;20;14;9;8;10;36;15;435;;07.03.2025 08:41;;1;0;18;18;3;2;1,3
153;;;base;interview;07.03.2025 09:29;1;Fruchtbarkeit, Vorteile;1;1;3;3;2;2;1;4;5;2;3;1;5;11;2;4;3;4;2;1;3;4;5;2;2;2;2;2;2;9;73;75;39;34;31;27;8;77;89;20;65;29;15;20;21;44;23;652;;07.03.2025 09:41;;1;0;18;18;0;0;0,64
156;;;base;interview;07.03.2025 09:48;1;Sexueller Vorteil ;1;1;3;3;2;2;1;4;1;2;1;2;5;11;2;1;6;4;5;2;4;1;3;1;1;1;1;2;1;14;46;2876;84;35;10;70;30;48;177;18;88;47;38;16;18;33;29;524;;07.03.2025 10:49;;1;0;18;18;0;0;0,55
157;;;base;interview;07.03.2025 10:08;1;Sport;1;1;3;3;1;2;2;4;1;2;5;1;5;12;2;3;10;2;4;2;1;3;5;1;1;2;2;1;1;15;42;51;37;34;35;11;9;82;51;9;36;44;21;18;32;20;12;530;;07.03.2025 10:17;;1;0;18;18;3;2;0,78
159;;;base;interview;07.03.2025 10:29;1;Geburtshilfe ;1;1;3;3;2;2;1;4;5;2;1;1;5;11;1;4;5;4;4;1;3;5;2;1;1;1;1;2;1;9;35;53;42;21;16;9;6;50;74;15;44;22;9;14;10;8;20;457;;07.03.2025 10:37;;1;0;18;18;3;2;1,01
161;;;base;interview;07.03.2025 10:36;1;Berufliche Zufriedenheit ;1;1;3;3;1;2;2;4;5;2;4;1;5;11;2;3;6;4;4;1;3;2;5;2;1;2;1;2;1;15;118;43;46;52;12;27;16;85;116;19;90;20;9;10;12;12;23;650;;07.03.2025 10:48;;1;0;18;18;0;0;0,76
164;;;base;interview;07.03.2025 10:57;1;Kinderwunsch;1;1;3;3;2;2;1;5;5;2;2;1;1;12;2;3;6;4;5;2;4;3;1;1;1;1;2;1;1;17163;31;1629;21;66;16;13;8;35;45;8;29;11;8;16;8;7;7;336;;07.03.2025 16:16;;1;0;18;18;3;2;1,13
166;;;base;interview;07.03.2025 11:38;1;Beratungsgespräche bei Fertilitätskliniken, Unterstützung bri der Planung der Elternzeit, Unterstützung bei der Kommunikation einer Schwangerschaft an den Arbeitgeber und ggf. rechtliche Beratung, Erweitertes Home Office in der Schwangerschaft ;1;1;3;3;1;2;1;5;5;2;2;3;1;5;1;4;1;1;4;1;2;3;5;1;1;2;1;2;1;552;136;35;29;17;13;8;14;70;43;10;24;9;6;20;8;11;9;370;;07.03.2025 11:55;;1;0;18;18;3;2;1,13
168;;;base;interview;07.03.2025 11:42;1;Schwangerschaft;1;1;3;3;2;2;1;5;5;2;3;2;1;12;2;4;4;3;5;1;4;2;3;1;1;2;1;1;1;9;34;32;22;18;18;7;6;35;55;12;20;11;22;15;11;7;4;338;;07.03.2025 11:48;;1;0;18;18;3;2;1,33
169;;;base;interview;07.03.2025 11:59;1;Schwangerschaft, Ausgleich ;1;1;3;3;2;1;1;4;5;2;1;1;1;9;2;4;1;4;3;1;4;2;5;2;1;2;1;2;2;17;44;104;66;42;19;33;11;98;237;17;50;15;10;25;11;15;19;628;;07.03.2025 12:13;;1;0;18;18;0;0;0,68
170;;;base;interview;07.03.2025 13:13;1;Arbeitgeber/-in, Nachwuchswunsch, Unterstützung ;1;1;3;3;1;3;1;8;4;2;2;2;1;4;1;4;1;4;5;1;3;2;4;1;1;2;1;2;2;4;26;11;24;24;20;11;11;64;37;8;30;11;8;9;12;21;15;346;;07.03.2025 13:19;;1;0;18;18;0;0;1,3
171;;;base;interview;07.03.2025 13:44;1;Eizellen ;1;1;3;3;2;2;1;5;5;2;3;3;3;9;1;3;8;4;3;1;2;4;5;2;1;2;1;2;1;8;22;27;27;20;9;9;6;41;87;13;53;19;9;13;10;10;13;396;;07.03.2025 13:51;;1;0;18;18;0;0;1,18
175;;;base;interview;07.03.2025 15:34;1;Vorteile;1;1;3;3;2;2;1;4;5;2;3;1;1;1;1;4;1;1;4;1;2;3;5;2;1;2;2;2;1;3;11;40;33;30;10;39;5;34;64;2;24;29;28;13;15;8;11;371;;07.03.2025 15:41;;1;0;18;18;0;0;1,38
180;;;base;interview;07.03.2025 22:44;1;Vorteile;1;1;3;3;2;2;1;5;5;2;2;2;1;10;1;2;2;4;5;4;3;1;2;1;1;1;2;1;1;10;31;38;25;54;20;15;15;68;51;9;21;833;15;45;8;13;19;472;;07.03.2025 23:06;;1;0;18;18;3;2;0,89
181;;;base;interview;08.03.2025 09:00;1;Hilfe zu Befruchtung ;1;1;3;3;1;4;1;3;4;1;3;3;1;4;2;2;6;4;3;1;2;4;5;2;1;1;2;2;2;21;68;60;80;47;18;17;20;87;131;32;58;35;35;51;36;22;7;722;;08.03.2025 09:14;;1;0;18;18;3;2;0,57
183;;;base;interview;08.03.2025 09:26;1;Vorteile Fruchtbare;1;1;3;3;2;2;1;8;1;2;3;3;1;4;2;3;6;4;3;1;4;2;5;2;1;2;2;2;1;10;138;34;66;64;16;18;13;83;79;9;29;18;29;24;22;15;8;531;;08.03.2025 09:37;;1;0;18;18;3;2;0,78
184;;;base;interview;08.03.2025 09:28;1;Fruchtbarkeit Vorteile;1;1;3;3;2;5;1;6;4;1;4;4;1;4;2;3;6;1;3;1;4;2;5;2;1;2;2;2;1;7;20;23;49;51;21;21;5;82;65;27;43;28;36;26;24;14;8;526;;08.03.2025 09:37;;1;0;18;18;3;2;0,9
185;;;base;interview;08.03.2025 09:30;1;Gewinn;1;1;3;3;2;6;1;2;2;1;1;3;7;4;2;4;1;1;4;2;1;5;3;2;2;2;2;1;2;23;48;65;108;37;24;82;26;59;110;3;56;8;14;15;9;23;5;627;;08.03.2025 09:42;;1;0;18;18;3;2;0,95
187;;;base;interview;08.03.2025 10:08;1;Familie Vorteile ;1;1;3;3;1;4;1;3;5;2;4;3;1;12;2;2;6;3;5;1;4;3;2;1;1;1;2;1;1;10;30;7;39;41;33;7;8;75;75;10;21;11;18;29;15;18;4;451;;08.03.2025 10:16;;1;0;18;18;3;2;1,15
189;;;base;interview;08.03.2025 11:12;1;Weiblich;1;1;3;3;2;4;1;8;2;1;2;1;1;4;1;3;6;3;5;1;4;3;2;1;1;1;2;1;2;10;6;25;22;28;10;10;9;36;61;15;19;12;15;18;15;17;27;355;;08.03.2025 11:18;;1;0;18;18;0;0;1,18
191;;;base;interview;08.03.2025 11:49;1;Nein;1;1;3;3;2;4;1;9;4;1;1;3;1;4;2;1;6;2;5;1;4;3;2;2;1;1;2;2;2;16;18;20;55;34;12;10;9;39;62;18;54;19;7;16;18;16;30;453;;08.03.2025 11:57;;1;0;18;18;0;0;0,99
192;;;base;interview;08.03.2025 12:02;1;Fruchtbarkeit ;1;1;3;3;2;5;1;3;2;1;2;2;1;4;2;3;7;3;5;2;4;1;3;1;1;1;1;1;1;22;22;62;68;45;25;17;11;187;234;20;60;38;28;39;21;19;15;608;;08.03.2025 12:18;;1;0;18;18;3;2;0,6
195;;;base;interview;09.03.2025 07:11;1;Schwangerschaft, Reproduktivität ;1;3;3;3;2;4;1;4;2;1;1;1;1;4;1;4;2;1;2;1;3;4;5;2;1;2;1;2;1;22;119;60;66;46;16;20;17;50;107;28;85;110;13;37;33;29;16;725;;09.03.2025 07:25;;1;0;18;18;3;2;0,54
196;;;base;interview;09.03.2025 08:09;1;Kinderwunsch ;1;1;3;3;1;3;1;8;2;1;2;1;1;4;1;4;1;1;4;2;3;5;1;2;1;2;2;2;1;4;29;79;28;39;36;13;11;42;39;12;21;15;11;15;14;9;14;431;;09.03.2025 08:17;;1;0;18;18;3;2;1,07
198;;;base;interview;10.03.2025 08:30;1;Fruchtbarkeit Vorteile ;1;1;3;3;2;2;1;4;5;2;2;2;5;11;2;3;4;4;5;1;4;3;2;1;1;1;1;2;1;5;17;3;22;15;6;7;7;39;28;4;17;8;9;12;13;54;15;240;;10.03.2025 08:35;;1;0;18;18;0;0;1,65
199;;;base;interview;10.03.2025 09:33;1;Kompliziert Firma ;1;1;3;3;2;4;1;4;1;1;4;2;1;4;2;2;6;3;5;1;2;3;4;2;1;1;2;2;2;11;55;39;127;37;14;18;11;71;150;22;52;40;18;26;15;44;12;643;;10.03.2025 09:45;;1;0;18;18;0;0;0,66
212;;;base;interview;13.03.2025 18:23;1;Geld Geburt;1;1;3;3;1;2;2;5;1;2;2;1;1;2;2;3;6;1;4;5;1;2;3;1;2;2;1;2;1;33;18;50;23;15;9;11;8;38;42;11;47;16;34;31;20;10;14;430;;13.03.2025 18:30;;1;0;18;18;0;0;1,05
215;;;base;interview;13.03.2025 19:11;1;Kinderwunsch, Fruchtbarkeit;1;1;3;3;1;2;2;5;5;2;2;3;1;12;2;3;3;1;5;4;2;3;1;2;2;1;2;2;2;5;84;4;33;13;12;6;5;41;37;5;31;11;7;5;5;12;24;340;;13.03.2025 19:17;;1;0;18;18;0;0;1,62
219;;;base;interview;14.03.2025 09:29;1;Unterstützung, Kindersunsch;1;1;3;3;2;2;1;8;1;2;3;1;6;13;2;3;6;2;4;1;3;2;5;2;1;2;1;2;1;4;46;25;33;20;11;11;5;40;41;3;26;6;9;5;7;11;2;305;;14.03.2025 09:34;;1;0;18;18;3;2;1,7
221;;;base;interview;16.03.2025 13:02;1;Remake Entrepreneurship;1;1;3;3;1;2;1;8;1;2;2;1;1;12;1;4;3;4;3;1;5;2;4;2;1;2;2;2;2;3;58;4;18;13;17;10;4;27;27;1;13;5;9;14;8;14;3;248;;16.03.2025 13:06;;1;0;18;18;3;2;1,93
222;;;base;interview;18.03.2025 07:11;1;Unterstützung Kinderwunsch ;1;1;3;3;2;3;1;2;5;1;3;2;1;4;1;3;6;4;4;2;1;5;3;1;1;2;2;2;1;9;125;67;41;34;11;14;9;95;109;13;92;6;50;51;35;11;12;649;;18.03.2025 07:24;;1;0;18;18;3;2;0,81
229;;;base;interview;20.03.2025 19:41;1;Fruchtbarkeit Unterstützung ;1;1;3;1;2;3;2;4;1;2;3;2;1;4;2;4;4;3;2;1;4;5;3;2;1;1;1;1;2;4;14;4;10;13;11;21;5;12;14;3;2;3;5;2;2;3;12;140;;20.03.2025 19:43;;1;0;18;18;3;2;2,43
230;;;base;interview;23.03.2025 10:29;1;Schwangerschaft Geld;1;1;3;3;1;1;1;3;5;2;4;2;1;7;2;4;5;2;5;2;4;3;1;1;1;1;2;2;1;2323;23;41;25;76;11;5;11;31;54;13;35;9;7;9;21;12;27;366;;23.03.2025 11:15;;1;0;18;18;0;0;1,12
231;;;base;interview;23.03.2025 10:32;1;vielleicht irgendwas mit kinderwunsch;1;1;3;3;1;1;2;3;5;2;2;2;5;11;2;3;1;4;4;1;2;3;5;2;1;2;1;2;1;5;15;19;22;11;6;4;2;15;17;4;31;15;10;7;9;6;13;211;;23.03.2025 10:35;;1;0;18;18;0;0;2,05
232;;;base;interview;23.03.2025 10:34;1;Familienplanung, Arbeitgeberzuschuss;1;1;3;3;1;3;2;2;2;1;2;1;1;2;1;3;9;1;2;3;1;5;4;2;1;2;1;2;1;2;43;32;129;12;6;6;7;36;20;17;32;38;5;7;7;61;3;325;;23.03.2025 10:42;;1;0;18;18;3;2;1,58
233;;;base;interview;23.03.2025 10:36;1;Leistungen vom Arbeitgeber, wenn man eine Familie starten will oder bereits Kinder hat;1;1;3;3;2;1;2;3;1;2;4;1;1;2;2;3;6;1;5;1;3;4;2;1;1;1;1;1;1;18;96;122;30;24;24;10;10;52;95;30;42;44;46;53;52;35;25;587;;23.03.2025 10:50;;1;0;18;18;3;2;0,59
234;;;base;interview;23.03.2025 10:40;1;Kinderwunsch, Hilfe;1;1;3;3;2;3;2;3;2;1;3;2;1;7;2;4;3;1;3;1;2;5;4;2;1;1;1;2;2;4;61;54;60;13;10;11;5;41;45;34;34;11;11;13;11;17;16;428;;23.03.2025 10:47;;1;0;18;18;0;0;1,12
235;;;base;interview;23.03.2025 10:41;1;Adoption ans surrogacy;1;1;3;3;2;2;1;5;2;1;4;2;6;7;3;4;6;1;4;2;3;5;1;2;1;1;2;2;1;2;51;71;50;19;14;6;15;39;41;12;34;14;14;15;17;10;17;441;;23.03.2025 10:49;;1;0;18;18;0;0;1,1
236;;;base;interview;23.03.2025 10:42;1;Vorteile durch Fortpflanzung;1;1;3;3;2;2;2;4;1;2;3;1;5;11;2;5;1;3;5;1;3;4;2;1;1;1;1;1;1;8;34;53;42;15;11;11;5;28;43;13;23;7;7;7;5;10;19;341;;23.03.2025 10:47;;1;0;18;18;0;0;1,4
237;;;base;interview;23.03.2025 10:43;1;Familienförderung, Reproductionshilfe, IVF-Kosten;1;1;3;3;2;1;1;4;1;2;2;1;5;11;1;6;3;1;4;3;5;1;2;2;2;2;2;2;2;29;143;65;181;24;15;13;10;88;75;21;87;81;19;39;48;47;59;558;;23.03.2025 11:00;;1;0;18;18;0;0;0,51
238;;;base;interview;23.03.2025 10:43;1;Fruchtbarkeit, Vorteile;1;1;3;3;2;2;1;5;5;2;3;1;1;4;2;4;5;1;4;1;3;2;5;1;1;2;2;1;1;39;57;135;284;27;31;11;9;52;71;16;43;25;24;31;16;20;9;531;;23.03.2025 10:58;;1;0;18;18;3;2;0,68
239;;;base;interview;23.03.2025 10:46;1;Kinder, Vorteile;1;1;3;3;2;1;2;3;1;2;2;1;1;7;1;4;1;3;1;5;4;3;2;1;1;1;1;2;1;18;21;33;45;10;36;4;10;21;43;11;28;9;7;11;16;8;14;345;;23.03.2025 10:51;;1;0;18;18;0;0;1,34
240;;;base;interview;23.03.2025 10:47;1;niedriges Gehalt;1;1;3;3;2;4;2;2;4;1;2;2;1;10;1;1;6;4;5;1;4;3;2;1;1;1;2;2;1;25;53;36;27;29;26;10;13;29;50;12;29;18;14;22;17;20;23;453;;23.03.2025 10:55;;1;0;18;18;0;0;0,87
241;;;base;interview;23.03.2025 10:47;1;Kinderwusch, Mitarbeiter-Benafits;1;1;3;3;2;4;1;9;2;1;4;3;1;4;1;5;3;1;1;2;5;4;3;1;1;2;1;2;1;23;465;52;44;51;21;12;10;60;193;16;78;25;43;23;18;14;16;564;;23.03.2025 11:07;;1;0;18;18;3;2;0,62
242;;;base;interview;23.03.2025 10:48;1;Schwangerschaft, Teilzeit;1;1;3;3;2;2;2;8;5;2;3;2;1;12;2;3;6;3;4;1;5;3;2;1;1;1;2;1;1;4;20;38;23;14;22;6;4;53;44;12;21;9;21;9;13;13;10;336;;23.03.2025 10:53;;1;0;18;18;0;0;1,38
